geography,geographycode,TotalDeathsPerThousand,UnsharedBungalow,UnsharedFlat,SharedDwelling,Age0To19,Age20To29,Age30To59,Age60AndAbove,GoodHealth,FairHealth,PoorHealth
Adur,E07000223,1.42,834.77,164.6,0.63,50.29,11.07,938.02,0.62,792.39,150.06,57.55
Allerdale,E07000026,2.69,945.64,54.3,0.06,21.21,5.11,973.27,0.4,790.11,147.37,62.52
Amber Valley,E07000032,2.5,960.55,39.38,0.07,24.16,5.38,970.2,0.26,789.97,149.92,60.11
Arun,E07000224,2.14,832.34,164.73,2.93,64.98,20.14,913.96,0.92,787.52,155.83,56.65
Ashfield,E07000170,3.16,949.4,50.21,0.39,24.05,5.71,970.04,0.2,765.32,163.05,71.63
Ashford,E07000105,2.94,914.79,84.44,0.77,69.03,22.25,907.06,1.66,826.69,127.39,45.92
Babergh,E07000200,2.33,954.51,45.35,0.14,40.11,9.13,950.08,0.68,824.12,132.48,43.4
Barking and Dagenham,E09000002,2.76,747.37,250.13,2.5,234.95,71.36,691,2.69,809.74,129.32,60.94
Barnet,E09000003,2.43,654.89,340.47,4.64,292.18,91.62,611.39,4.82,844.48,109.91,45.61
Barnsley,E08000016,3.1,952.67,46.58,0.74,25.96,7.53,966.25,0.25,751.85,164.15,84
Barrow-in-Furness,E07000027,2.39,930.58,68.88,0.54,22.68,6.06,970.85,0.41,758.51,157.74,83.75
Basildon,E07000066,3.18,885.95,113.96,0.09,55.36,15.86,928.03,0.76,812.02,132.64,55.34
Basingstoke and Deane,E07000084,1.71,900.46,99.26,0.29,82.98,23.06,892.92,1.04,857.88,107.55,34.57
Bassetlaw,E07000171,1.9,953.38,46.33,0.29,36.01,10.61,953.12,0.27,774.96,157.66,67.38
Bath and North East Somerset,E06000022,1.51,847.69,148.66,3.65,75.44,16.76,907.07,0.73,839.3,118.49,42.21
Bedford,E06000055,3.04,882.18,115.19,2.63,139.78,34.51,823.95,1.76,828.83,125.81,45.36
Bexley,E09000004,2.5,831.26,168.03,0.71,108.36,30.83,859.35,1.46,826.6,125.07,48.33
Birmingham,E08000025,2.53,838.39,159.09,2.52,180.82,39.03,777.91,2.24,794.44,138.65,66.9
Blaby,E07000129,2.21,962.01,37.94,0.05,55.06,10.01,934.42,0.51,833.16,125.26,41.58
Blackburn with Darwen,E06000008,2.82,932.98,66.15,0.86,124.02,22.5,852.23,1.25,786.51,140.52,72.97
Blackpool,E06000009,2.69,849.38,147.53,3.09,42.67,11.12,945.78,0.43,736.44,168.77,94.79
Bolsover,E07000033,2.93,963.07,36.9,0.03,22.86,7.14,969.79,0.21,742.85,170.89,86.26
Bolton,E08000001,2.46,916.81,82.07,1.12,90.88,20.77,887.19,1.15,792.36,141.41,66.24
Boston,E07000136,2.43,913.66,85.87,0.47,106.05,44.43,848.54,0.97,781.64,158.61,59.75
"Bournemouth, Christchurch and Poole",E06000058,2.3,721.38,271.73,6.89,87.51,22.85,888.63,1.01,806.86,138.29,54.85
